"","15_24","25_44","45_64","65_89","White","Mixed","Asian","Black","Other","unemployed","emplyment","nonstudent","student"
"65",98275.3578328,148817.973052,124764.721988,81386.217024,461755.768304,13266.3660884,44309.317336,20047.502504,12376.990592,27815.7304036,523940.2695964,538159.35277,13596.64723
"66",71137.571866,147435.77783,119998.919195,66364.984475,352764.169595,12995.4843875,140326.64498,9279.01387,7749.948725,32603.874736,490511.125264,521484.97366,1630.02634
"67",24090.692061,54118.11688,55920.1213,31061.40295,183095.5726,2801.722825,16903.43847,900.59387,468.77432,10542.950877,193627.049123,204105.48228,64.51772
"68",56441.666661,114506.4384,107161.56435,61517.60274,334675.0125,9801.864483,67863.84462,7914.61464,2714.19849,21082.812759,401887.187241,421258.874865,1711.125135
"69",124576.2191915,215391.971824,172779.451329,104504.081796,638804.208412,19611.0678969,58180.935232,25865.533448,8221.480216,37103.9335727,713579.0664273,739155.6619886,11527.3380114
"70",39657.7249473,86241.313569,89226.869787,53080.943697,311525.784189,2933.3595813,8513.37264,2516.471997,943.717803,16535.8553346,309897.1446654,326405.0899785,27.9100215
"71",36825.2169009,69562.391433,57237.970332,36015.579582,199904.465259,7237.5447333,31118.870772,7325.645661,3356.498469,13421.1145932,235521.8854068,246852.0530601,2090.9469399
"72",59857.6921094,97675.07264,69705.232809,35406.224951,166528.878908,11572.544716,122391.493981,20571.691443,8562.390952,21397.077451,308229.922549,321825.717791,7801.282209
"73",69418.3418043,87239.678132,59952.586922,33728.230515,217423.931752,20146.9234252,39805.602717,22055.773824,4466.707502,19835.0318815,284063.9681185,292225.5100524,11673.4899476
"74",4661.3067216,8641.75095,10294.074777,7509.360258,36506.93502,391.2069357,367.053627,252.431577,63.361566,925.2179133,36655.7820867,37578.4933473,2.5066527
"75",13561.4451707,30781.318393,35332.115896,21746.619853,120231.08251,981.6995125,930.546995,253.495949,124.236294,4862.5276833,117658.4723167,122521,0
"76",9024.4294188,19770.353073,20736.453576,13206.313329,74611.971498,519.1108062,613.325943,267.546051,17.030496,3807.9048621,72221.0951379,76017.4131804,11.5868196
"77",12261.0887892,26616.95154,28729.03734,18430.984404,100172.02608,1093.9981716,1592.004132,782.04258,148.001688,5099.1355764,98688.8644236,103779.126126,8.873874
"78",7038.8622656,14743.485504,22570.1872,15075.47008,70105.202112,465.9231808,397.897984,86.960192,47.9952,1969.865216,69134.134784,71094.7493696,9.2506304
"79",13762.5917173,29326.847234,30455.623178,19103.545061,108928.001086,1270.9056278,1385.040411,536.774718,128.188358,5504.4889118,106744.5110882,112230.5574893,18.4425107
"80",10824.719923,22256.01684,26862.617464,14977.820768,89042.081796,944.939052,711.661204,184.147568,99.079398,3545.3683796,87436.6316204,90806.7959626,175.2040374
"81",10984.67013,22843.7392,29247.6803,20075.5789,97159.5229,786.60625,795.5748,236.1553,122.0912,3902.7562,95197.2438,99090.79361,9.20639
"82",10781.4992565,25989.24564,25999.30663,14091.175815,90817.89911,1065.4113835,2382.55633,426.35818,222.67059,2867.268252,92047.731748,94893.093618,21.906382
"83",10887.1753352,24013.355596,25919.71686,16240.405696,85648.447632,1508.4747132,5731.22682,902.066956,341.793292,2625.2285216,91506.7714784,94112.5335024,19.4664976
"84",28967.7054972,41168.432688,42227.05332,25943.0064,144918.230904,2573.5329648,16116.180408,1325.183364,942.673308,5119.6134516,160756.3865484,162753.79899,3122.20101
"85",8889.8400767,20603.239386,25293.545656,14933.222148,81617.927921,974.6033076,2572.512582,328.22717,205.763299,1975.2334015,83723.7665985,85654.7964558,44.2035442
"86",11386.9679488,26655.251632,30554.494192,18608.192432,101610.132256,1029.4442736,2251.386,262.582704,174.423168,3445.1524864,101882.8475136,105302.4684928,25.5315072
"87",5532.0655665,12185.705875,14974.29225,8877.92991,49435.51391,414.978009,519.240085,95.23357,30.09502,1407.3814915,49087.6185085,50483.2498135,11.7501865
"88",10171.90631,24172.10552,26483.13176,15591.65251,91384.07732,882.905319,1076.36197,205.41831,121.30265,3332.478856,90337.521144,93476.093733,193.906267
"89",8440.1553544,13008.623936,14655.973948,10335.738644,40871.555417,1171.9987356,12477.383226,668.725134,789.3039,1808.4743677,54170.5256323,55958.0134729,20.9865271
"90",7624.427847,16455.37282,17210.140635,12208.87502,62570.71063,663.776972,927.677555,277.909115,174.912805,2842.426773,61772.573227,64610.2637205,4.7362795
"91",14001.8611932,26704.031076,41055.746076,34158.44853,134591.7501,938.9438685,790.711155,264.481605,97.181613,5763.9767832,130919.0232168,136674.0199269,8.9800731
"92",18811.845522,25635.42283,21081.70463,12533.615995,88943.27601,1224.0025905,1785.18413,774.187945,358.284165,4841.7138815,88243.2861185,91427.8170535,1657.1829465
"93",11446.2724558,25962.9315,30678.58119,21719.552146,106573.574476,796.52212,755.28528,252.738422,139.98822,3149.9736896,105368.0263104,108508.558934,9.441066
"94",9463.88194400001,20854.29465,24598.40666,18802.49758,86487.40525,797.083342,748.04457,257.39168,100.14587,3551.085928,84838.914072,88375.76921,14.23079
"95",14410.0815125,32533.762375,38631.084875,24457.4255,130722.517,1144.8775875,1584.01625,510.345625,163.36425,4429.531775,129695.468225,134101.6086,23.3914
"96",9795.17725920001,19513.315224,27085.897224,17889.431976,87700.149576,630.7178976,728.844264,224.27352,68.086224,3626.931708,85725.068292,89345.0126736,6.9873264
"97",7774.4214366,17790.623032,15736.89208,8136.498097,58855.261738,840.8061753,786.474962,1013.804792,110.646172,2728.2721557,58878.7278443,61599.668767,7.331233
"98",8685.22504399999,19120.59212,23247.60653,12665.84259,75342.07806,973.829566,1186.42979,482.39453,85.25244,2329.351169,75740.648831,78047.796892,22.203108
"99",9709.5826763,22177.568831,24380.219195,13920.670381,83942.470259,1053.2605643,1097.242339,630.755809,145.158099,2905.0122897,83963.9877103,86864.1266491,4.8733509
"100",10527.6630492,26019.835806,24670.518018,14314.611918,88088.266362,1318.207839,3034.97964,994.955292,409.63779,3745.8255516,90100.1744484,93829.4549502,16.5450498
"101",28695.0046768,64147.722436,50750.101836,26882.575412,179595.476004,6862.6628812,13778.406264,10762.507308,1492.968792,9611.6931344,202880.3068656,211134.1548708,1357.8451292
"102",8592.79154400001,21090.465288,25794.609372,13824.564678,82821.09888,1006.0241148,1132.330392,377.158644,109.37088,2004.4948032,83441.5051968,85433.695776,12.304224
"103",8446.3762263,20448.992409,20202.037604,11867.067115,66033.294473,2166.0470238,4479.676962,2706.064949,251.946847,3532.3084096,72104.6915904,75632.2802512,4.7197488
"104",14412.082282,31463.56889,32142.692894,19444.078004,116757.45614,1059.2159162,1099.124312,472.1119,133.984162,5941.0083408,113580.9916592,119517.3027854,4.6972146
"105",13136.3162425,27598.157675,32531.30364,20131.936462,110028.309028,997.2401747,1256.59336,520.604821,200.241316,4696.1899743,108306.8100257,113000.626937,2.373063
